2017-08-13 09:30:35.459731 UTC,Logger Initialized
2017-08-13 09:31:45.869078 UTC,95,4e578a83c6d720
2017-08-13 09:31:45.869188 UTC,96,1a9cbd2d56d37b
2017-08-13 09:31:45.869296 UTC,97,8294bf4a1831c6
2017-08-13 09:31:45.869396 UTC,98,d371b322bd20be
2017-08-13 09:31:45.869504 UTC,99,ef2b95d675362320461584510d3c
2017-08-13 09:31:45.869601 UTC,100,be546103f83dd5
2017-08-13 09:31:45.869698 UTC,101,7f885204f28424
2017-08-13 09:31:45.869835 UTC,102,a6cca3253f1455
2017-08-13 09:31:45.869995 UTC,103,6e0337b6119642
2017-08-13 09:31:45.870157 UTC,104,fcbc35d94c8ce6
2017-08-13 09:31:45.870256 UTC,105,255fb757bbfe8cd1e3c46234e181
2017-08-13 09:31:45.870354 UTC,106,75a4bbbd93aae3
2017-08-13 09:31:45.870459 UTC,107,a3d6d568a435af
2017-08-13 09:31:45.870857 UTC,108,09e3278908c867
2017-08-13 09:31:45.871082 UTC,109,c3b396857fd6c3
2017-08-13 09:31:45.871408 UTC,110,952cbf58f5fc201d90e5ca951550
2017-08-13 09:31:45.872525 UTC,111,e2861724a64ca0
2017-08-13 09:31:45.872603 UTC,112,da4e5dba6706f2926ad938e4f3b5
2017-08-13 09:31:45.872725 UTC,113,abac0e0bfba59c
2017-08-13 09:31:45.872833 UTC,114,b7a43cd3688329
2017-08-13 09:31:45.872981 UTC,115,0e8b20b7418238
2017-08-13 09:31:45.873115 UTC,116,39009876505e36
2017-08-13 09:31:47.010058 UTC,117,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.010223 UTC,118,b2f4a6e5982dac
2017-08-13 09:31:47.010330 UTC,119,08efaac49bec23
2017-08-13 09:31:47.010418 UTC,120,222e7f3686fd77
2017-08-13 09:31:47.010498 UTC,121,10fab923390431
2017-08-13 09:31:47.010574 UTC,122,865a1023738956
2017-08-13 09:31:47.010658 UTC,123,accf60886c2280
2017-08-13 09:31:47.010735 UTC,124,b9ba445a4c03a0
2017-08-13 09:31:47.010925 UTC,125,ba533733ef4f5f
2017-08-13 09:31:47.011475 UTC,126,525a5108d09225
2017-08-13 09:31:47.011580 UTC,127,00e7fb96eac021
2017-08-13 09:31:47.011829 UTC,128,a6abb5d28705de
2017-08-13 09:31:47.011964 UTC,129,7f4a4e12b884ac
2017-08-13 09:31:47.012043 UTC,130,f843f6b046267d
2017-08-13 09:31:47.012140 UTC,131,ba0f18f1cb2886
2017-08-13 09:31:47.012241 UTC,132,3de1c2de1fdc57
2017-08-13 09:31:47.012329 UTC,133,0038a244c06bd9
2017-08-13 09:31:47.012393 UTC,134,9cd26936b7cd3b
2017-08-13 09:31:47.012729 UTC,135,1fc6b51e8b4f34
2017-08-13 09:31:47.012809 UTC,136,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.012911 UTC,137,e6b3e0684583ff
2017-08-13 09:31:47.012974 UTC,138,46f3820738ce8f
2017-08-13 09:31:47.013065 UTC,139,e931ddd0de47aa
2017-08-13 09:31:47.013157 UTC,140,e4c85df76b7105
2017-08-13 09:31:47.013237 UTC,141,85b070955534a1
2017-08-13 09:31:47.013337 UTC,142,f333bc41d3e13f
2017-08-13 09:31:47.013440 UTC,143,e2a088ea6e9115
2017-08-13 09:31:47.014757 UTC,144,f32bdc98903294
2017-08-13 09:31:47.014964 UTC,145,b63ca670cc4bc7
2017-08-13 09:31:47.015832 UTC,146,4c9a8e94a6493e
2017-08-13 09:31:47.015910 UTC,147,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.060521 UTC,148,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.061594 UTC,149,b2f4a6e5982dac
2017-08-13 09:31:47.061781 UTC,150,08efaac49bec23
2017-08-13 09:31:47.061972 UTC,151,222e7f3686fd77
2017-08-13 09:31:47.062084 UTC,152,10fab923390431
2017-08-13 09:31:47.062458 UTC,153,865a1023738956
2017-08-13 09:31:47.062967 UTC,154,accf60886c2280
2017-08-13 09:31:47.063212 UTC,155,b9ba445a4c03a0
2017-08-13 09:31:47.063334 UTC,156,ba533733ef4f5f
2017-08-13 09:31:47.064460 UTC,157,525a5108d09225
2017-08-13 09:31:47.064847 UTC,158,00e7fb96eac021
2017-08-13 09:31:47.064979 UTC,159,a6abb5d28705de
2017-08-13 09:31:47.065174 UTC,160,7f4a4e12b884ac
2017-08-13 09:31:47.065283 UTC,161,f843f6b046267d
2017-08-13 09:31:47.065387 UTC,162,ba0f18f1cb2886
2017-08-13 09:31:47.065496 UTC,163,3de1c2de1fdc57
2017-08-13 09:31:47.065600 UTC,164,0038a244c06bd9
2017-08-13 09:31:47.065704 UTC,165,9cd26936b7cd3b
2017-08-13 09:31:47.065829 UTC,166,1fc6b51e8b4f34
2017-08-13 09:31:47.066081 UTC,167,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.066610 UTC,168,e6b3e0684583ff
2017-08-13 09:31:47.066861 UTC,169,46f3820738ce8f
2017-08-13 09:31:47.067045 UTC,170,e931ddd0de47aa
2017-08-13 09:31:47.067154 UTC,171,e4c85df76b7105
2017-08-13 09:31:47.067264 UTC,172,85b070955534a1
2017-08-13 09:31:47.067371 UTC,173,f333bc41d3e13f
2017-08-13 09:31:47.067479 UTC,174,e2a088ea6e9115
2017-08-13 09:31:47.067596 UTC,175,f32bdc98903294
2017-08-13 09:31:47.067706 UTC,176,b63ca670cc4bc7
2017-08-13 09:31:47.067810 UTC,177,4c9a8e94a6493e
2017-08-13 09:31:47.067918 UTC,178,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.107461 UTC,179,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.107559 UTC,180,b2f4a6e5982dac
2017-08-13 09:31:47.107654 UTC,181,08efaac49bec23
2017-08-13 09:31:47.119215 UTC,182,222e7f3686fd77
2017-08-13 09:31:47.119444 UTC,183,10fab923390431
2017-08-13 09:31:47.119540 UTC,184,865a1023738956
2017-08-13 09:31:47.119604 UTC,185,accf60886c2280
2017-08-13 09:31:47.119663 UTC,186,b9ba445a4c03a0
2017-08-13 09:31:47.119719 UTC,187,ba533733ef4f5f
2017-08-13 09:31:47.119777 UTC,188,525a5108d09225
2017-08-13 09:31:47.119839 UTC,189,00e7fb96eac021
2017-08-13 09:31:47.119897 UTC,190,a6abb5d28705de
2017-08-13 09:31:47.119954 UTC,191,7f4a4e12b884ac
2017-08-13 09:31:47.120010 UTC,192,f843f6b046267d
2017-08-13 09:31:47.120074 UTC,193,ba0f18f1cb2886
2017-08-13 09:31:47.120131 UTC,194,3de1c2de1fdc57
2017-08-13 09:31:47.120189 UTC,195,0038a244c06bd9
2017-08-13 09:31:47.120246 UTC,196,9cd26936b7cd3b
2017-08-13 09:31:47.120302 UTC,197,1fc6b51e8b4f34
2017-08-13 09:31:47.120355 UTC,198,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.120406 UTC,199,e6b3e0684583ff
2017-08-13 09:31:47.120457 UTC,200,46f3820738ce8f
2017-08-13 09:31:47.120508 UTC,201,e931ddd0de47aa
2017-08-13 09:31:47.120558 UTC,202,e4c85df76b7105
2017-08-13 09:31:47.120614 UTC,203,85b070955534a1
2017-08-13 09:31:47.120672 UTC,204,f333bc41d3e13f
2017-08-13 09:31:47.120726 UTC,205,e2a088ea6e9115
2017-08-13 09:31:47.120783 UTC,206,f32bdc98903294
2017-08-13 09:31:47.120838 UTC,207,b63ca670cc4bc7
2017-08-13 09:31:47.120896 UTC,208,4c9a8e94a6493e
2017-08-13 09:31:47.120969 UTC,209,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.156275 UTC,210,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.156404 UTC,211,b2f4a6e5982dac
2017-08-13 09:31:47.156492 UTC,212,08efaac49bec23
2017-08-13 09:31:47.156557 UTC,213,222e7f3686fd77
2017-08-13 09:31:47.156628 UTC,214,10fab923390431
2017-08-13 09:31:47.156679 UTC,215,865a1023738956
2017-08-13 09:31:47.156732 UTC,216,accf60886c2280
2017-08-13 09:31:47.159345 UTC,217,b9ba445a4c03a0
2017-08-13 09:31:47.159445 UTC,218,ba533733ef4f5f
2017-08-13 09:31:47.159504 UTC,219,525a5108d09225
2017-08-13 09:31:47.159560 UTC,220,00e7fb96eac021
2017-08-13 09:31:47.159611 UTC,221,a6abb5d28705de
2017-08-13 09:31:47.159660 UTC,222,7f4a4e12b884ac
2017-08-13 09:31:47.159712 UTC,223,f843f6b046267d
2017-08-13 09:31:47.159803 UTC,224,ba0f18f1cb2886
2017-08-13 09:31:47.159869 UTC,225,3de1c2de1fdc57
2017-08-13 09:31:47.159927 UTC,226,0038a244c06bd9
2017-08-13 09:31:47.159986 UTC,227,9cd26936b7cd3b
2017-08-13 09:31:47.160044 UTC,228,1fc6b51e8b4f34
2017-08-13 09:31:47.160102 UTC,229,ca5e8cafc1276f53dbe896689b1a
2017-08-13 09:31:47.160157 UTC,230,e6b3e0684583ff
2017-08-13 09:31:47.160212 UTC,231,46f3820738ce8f
2017-08-13 09:31:47.160265 UTC,232,e931ddd0de47aa
2017-08-13 09:31:47.160320 UTC,233,e4c85df76b7105
2017-08-13 09:31:47.160374 UTC,234,85b070955534a1
2017-08-13 09:31:47.160427 UTC,235,f333bc41d3e13f
2017-08-13 09:31:47.160482 UTC,236,e2a088ea6e9115
2017-08-13 09:31:47.160536 UTC,237,f32bdc98903294
2017-08-13 09:31:47.160590 UTC,238,b63ca670cc4bc7
2017-08-13 09:31:47.160643 UTC,239,4c9a8e94a6493e
2017-08-13 09:31:47.160706 UTC,240,eb55557ac05b7527dcc3c649bef5
2017-08-13 09:31:47.211473 UTC,241,52b761e8aa40aa9d9826236c96cc
2017-08-13 09:31:47.211762 UTC,242,b2f4a6e5982dac
2017-08-13 09:31:47.211953 UTC,243,08efaac49bec23
2017-08-13 09:31:47.212093 UTC,244,222e7f3686fd77
2017-08-13 09:31:47.212296 UTC,245,10fab923390431
2017-08-13 09:31:47.212428 UTC,246,865a1023738956
2017-08-13 09:31:47.212541 UTC,247,accf60886c2280
2017-08-13 09:31:47.212707 UTC,248,b9ba445a4c03a0
2017-08-13 09:31:47.212784 UTC,249,ba533733ef4f5f
2017-08-13 09:31:47.212910 UTC,250,525a5108d09225
2017-08-13 09:31:47.212986 UTC,251,00e7fb96eac021
2017-08-13 09:31:47.213189 UTC,252,a6abb5d28705de
2017-08-13 09:31:47.213312 UTC,253,7f4a4e12b884ac
2017-08-13 09:31:47.213399 UTC,254,f843f6b046267d
2017-08-13 09:31:47.213484 UTC,255,ba0f18f1cb2886
2017-08-13 09:31:47.213740 UTC,256,3de1c2de1fdc57
2017-08-13 09:31:47.214320 UTC,257,0038a244c06bd9
2017-08-13 09:31:47.214901 UTC,258,9cd26936b7cd3b
2017-08-13 09:31:47.215598 UTC,259,1fc6b51e8b4f34
