2017-08-13 09:30:13.512478 UTC,Logger Initialized
2017-08-13 09:31:39.128402 UTC,92,fb1707b7219fb8
2017-08-13 09:31:39.128428 UTC,93,f2471593439b55
2017-08-13 09:31:39.128494 UTC,94,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.128555 UTC,95,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.128602 UTC,96,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.128662 UTC,97,4701d31db68c1b
2017-08-13 09:31:39.128717 UTC,98,acd6b21250072b
2017-08-13 09:31:39.128770 UTC,99,385fc719f011f2
2017-08-13 09:31:39.128821 UTC,100,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.128864 UTC,101,f01911aca9a39b
2017-08-13 09:31:39.128905 UTC,102,07cee6c94fb082
2017-08-13 09:31:39.128940 UTC,103,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.128995 UTC,104,b6e21bbd9a6541
2017-08-13 09:31:39.175972 UTC,105,84de74e2545d14
2017-08-13 09:31:39.176042 UTC,106,735d8da64f00c6
2017-08-13 09:31:39.176107 UTC,107,c81354cc30b5ec
2017-08-13 09:31:39.176150 UTC,108,fd0a105bac6992
2017-08-13 09:31:39.176197 UTC,109,842a1ab916d7d4
2017-08-13 09:31:39.176238 UTC,110,d31a11cdc0b115
2017-08-13 09:31:39.176294 UTC,111,c86eb398c066e4
2017-08-13 09:31:39.176368 UTC,112,baa28e5a33c9b0
2017-08-13 09:31:39.176424 UTC,113,ccb306c7cd1c32
2017-08-13 09:31:39.176472 UTC,114,64f71a59c3c89b
2017-08-13 09:31:39.176549 UTC,115,8591e25a0c30ee
2017-08-13 09:31:39.176592 UTC,116,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.176666 UTC,117,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.176705 UTC,118,fb1707b7219fb8
2017-08-13 09:31:39.176748 UTC,119,f2471593439b55
2017-08-13 09:31:39.176797 UTC,120,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.176880 UTC,121,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.176926 UTC,122,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.176986 UTC,123,4701d31db68c1b
2017-08-13 09:31:39.177075 UTC,124,acd6b21250072b
2017-08-13 09:31:39.177138 UTC,125,385fc719f011f2
2017-08-13 09:31:39.177179 UTC,126,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.177244 UTC,127,f01911aca9a39b
2017-08-13 09:31:39.177288 UTC,128,07cee6c94fb082
2017-08-13 09:31:39.177327 UTC,129,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.177376 UTC,130,b6e21bbd9a6541
2017-08-13 09:31:39.223592 UTC,131,84de74e2545d14
2017-08-13 09:31:39.223664 UTC,132,735d8da64f00c6
2017-08-13 09:31:39.223757 UTC,133,c81354cc30b5ec
2017-08-13 09:31:39.223805 UTC,134,fd0a105bac6992
2017-08-13 09:31:39.223902 UTC,135,842a1ab916d7d4
2017-08-13 09:31:39.223948 UTC,136,d31a11cdc0b115
2017-08-13 09:31:39.224017 UTC,137,c86eb398c066e4
2017-08-13 09:31:39.224078 UTC,138,baa28e5a33c9b0
2017-08-13 09:31:39.224117 UTC,139,ccb306c7cd1c32
2017-08-13 09:31:39.224160 UTC,140,64f71a59c3c89b
2017-08-13 09:31:39.224204 UTC,141,8591e25a0c30ee
2017-08-13 09:31:39.224261 UTC,142,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.224307 UTC,143,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.224352 UTC,144,fb1707b7219fb8
2017-08-13 09:31:39.224404 UTC,145,f2471593439b55
2017-08-13 09:31:39.224459 UTC,146,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.224539 UTC,147,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.224597 UTC,148,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.224656 UTC,149,4701d31db68c1b
2017-08-13 09:31:39.224758 UTC,150,acd6b21250072b
2017-08-13 09:31:39.224803 UTC,151,385fc719f011f2
2017-08-13 09:31:39.224933 UTC,152,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.224971 UTC,153,f01911aca9a39b
2017-08-13 09:31:39.225021 UTC,154,07cee6c94fb082
2017-08-13 09:31:39.225084 UTC,155,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.225131 UTC,156,b6e21bbd9a6541
2017-08-13 09:31:39.271307 UTC,157,84de74e2545d14
2017-08-13 09:31:39.271389 UTC,158,735d8da64f00c6
2017-08-13 09:31:39.271459 UTC,159,c81354cc30b5ec
2017-08-13 09:31:39.271544 UTC,160,fd0a105bac6992
2017-08-13 09:31:39.271588 UTC,161,842a1ab916d7d4
2017-08-13 09:31:39.271651 UTC,162,d31a11cdc0b115
2017-08-13 09:31:39.271693 UTC,163,c86eb398c066e4
2017-08-13 09:31:39.271745 UTC,164,baa28e5a33c9b0
2017-08-13 09:31:39.271793 UTC,165,ccb306c7cd1c32
2017-08-13 09:31:39.271835 UTC,166,64f71a59c3c89b
2017-08-13 09:31:39.271885 UTC,167,8591e25a0c30ee
2017-08-13 09:31:39.271931 UTC,168,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.271999 UTC,169,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.272051 UTC,170,fb1707b7219fb8
2017-08-13 09:31:39.272091 UTC,171,f2471593439b55
2017-08-13 09:31:39.272136 UTC,172,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.272191 UTC,173,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.272247 UTC,174,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.272290 UTC,175,4701d31db68c1b
2017-08-13 09:31:39.272330 UTC,176,acd6b21250072b
2017-08-13 09:31:39.272380 UTC,177,385fc719f011f2
2017-08-13 09:31:39.272416 UTC,178,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.272453 UTC,179,f01911aca9a39b
2017-08-13 09:31:39.272507 UTC,180,07cee6c94fb082
2017-08-13 09:31:39.272552 UTC,181,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.272627 UTC,182,b6e21bbd9a6541
2017-08-13 09:31:39.320113 UTC,183,84de74e2545d14
2017-08-13 09:31:39.320197 UTC,184,735d8da64f00c6
2017-08-13 09:31:39.320244 UTC,185,c81354cc30b5ec
2017-08-13 09:31:39.320287 UTC,186,fd0a105bac6992
2017-08-13 09:31:39.320328 UTC,187,842a1ab916d7d4
2017-08-13 09:31:39.320369 UTC,188,d31a11cdc0b115
2017-08-13 09:31:39.320433 UTC,189,c86eb398c066e4
2017-08-13 09:31:39.320504 UTC,190,baa28e5a33c9b0
2017-08-13 09:31:39.320567 UTC,191,ccb306c7cd1c32
2017-08-13 09:31:39.320632 UTC,192,64f71a59c3c89b
2017-08-13 09:31:39.320694 UTC,193,8591e25a0c30ee
2017-08-13 09:31:39.320741 UTC,194,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.320792 UTC,195,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.320842 UTC,196,fb1707b7219fb8
2017-08-13 09:31:39.320892 UTC,197,f2471593439b55
2017-08-13 09:31:39.320949 UTC,198,a24bc95053acb0847e6ba17a53d7
